Year_Month,Card Type,Travel_Mode,Trip
May-20,Sgl Trip Ferry Child/Youth,Ferry,659
Aug-20,School Student,Ferry,5201
Aug-20,Concession,Ferry,11428
Sep-20,Adult,Ferry,192004
Sep-20,School Student,Ferry,5788
Sep-20,Sgl Trip Ferry Child/Youth,Ferry,2306
Oct-20,Concession,Ferry,14082
Nov-20,School Student,Ferry,7451
Jan-21,Child/Youth,Ferry,62949
Feb-21,Child/Youth,Ferry,25386
Mar-21,Employee,Ferry,3991
Apr-21,Free Travel,Ferry,1974
Apr-21,Concession,Ferry,17490
May-21,Concession,Ferry,14721
May-21,Sgl Trip Ferry Adult,Ferry,8717
Jul-21,Adult,Ferry,30457
Aug-21,Child/Youth,Ferry,1563
Sep-21,Employee,Ferry,876
Oct-21,Concession,Ferry,7215
Mar-22,Adult,Ferry,215463
Mar-22,Child/Youth,Ferry,31567
Apr-22,Adult,Ferry,424839
Apr-22,Sgl Trip Ferry Child/Youth,Ferry,8094
May-22,Sgl Trip Ferry Adult,Ferry,16156
Jul-22,Employee,Ferry,3361
Jul-22,School Student,Ferry,3722
Sep-22,Senior/Pensioner,Ferry,135130
Sep-22,Concession,Ferry,14785
Oct-22,Employee,Ferry,3867
Nov-22,School Student,Ferry,10021
Nov-22,Employee,Ferry,4163
Dec-22,Sgl Trip Ferry Child/Youth,Ferry,22256
Apr-23,Concession,Ferry,15783
May-23,Senior/Pensioner,Ferry,179950
Jun-23,Child/Youth,Ferry,81197
Jul-23,Sgl Trip Ferry Child/Youth,Ferry,23753
Jul-23,Sgl Trip Ferry Adult,Ferry,33586
Aug-23,Child/Youth,Ferry,58485
Oct-23,Employee,Ferry,4548
Nov-23,Sgl Trip Ferry Child/Youth,Ferry,7473
Dec-23,Senior/Pensioner,Ferry,189510
Feb-24,Child/Youth,Ferry,63340
Mar-24,School Student,Ferry,11017
Apr-24,CTP,Ferry,752219
May-24,Child/Youth,Ferry,42430
Oct-16,Child/Youth,Ferry,119399
Dec-16,Senior/Pensioner,Ferry,187261
Aug-18,Concession,Ferry,24487
Oct-18,Employee,Ferry,3997
Dec-18,Sgl Trip Ferry Adult,Ferry,62404
Sep-19,Free Travel,Ferry,2031
Sep-19,Sgl Trip Ferry Adult,Ferry,29810
Oct-19,Employee,Ferry,5071
Oct-19,Adult,Ferry,782712
Feb-21,Employee,Ferry,3479
Jul-21,Sgl Trip Ferry Adult,Ferry,196
Feb-22,Sgl Trip Ferry Child/Youth,Ferry,3791
May-22,School Student,Ferry,10250
Jun-22,Day Pass without SAF,Ferry,16
Dec-22,Concession,Ferry,17670
Jun-24,Day Pass Child/Youth w/o SAF,Ferry,112
Jul-24,Child/Youth,Ferry,113981
Jun-19,Child/Youth,Ferry,101453
Oct-19,Senior/Pensioner,Ferry,211866
Jul-20,Concession,Ferry,12344
Nov-17,Child/Youth,Ferry,75010
Jul-19,Day Pass without SAF,Ferry,10
Dec-23,Day Pass without SAF,Ferry,54
Aug-17,Day Pass without SAF,Ferry,5
Nov-19,Day Pass Child/Youth w/o SAF,Ferry,431
Feb-18,Child/Youth,Ferry,65080
Nov-18,Day Pass without SAF,Ferry,4
May-23,Day Pass without SAF,Ferry,62
Apr-21,Day Pass without SAF,Ferry,15
Oct-19,Day Pass without SAF,Ferry,76
Feb-19,Day Pass without SAF,Ferry,11
Aug-23,Day Pass without SAF,Ferry,6
Apr-18,School Student,Ferry,1064
Apr-22,School Student,Ferry,3866
Nov-23,Day Pass without SAF,Ferry,51
Mar-22,Day Pass without SAF,Ferry,5
Mar-24,Day Pass Child/Youth w/o SAF,Ferry,4
Sep-18,Day Pass without SAF,Ferry,1
Apr-24,Day Pass Child/Youth w/o SAF,Ferry,2
Jul-16,Child/Youth,Light rail,48667
Jul-16,Free Travel,Light rail,693
Jul-16,Sgl Trip LR Child/Youth,Light rail,302
Aug-16,Child/Youth,Light rail,40298
Sep-16,Adult,Light rail,545779
Sep-16,Sgl Trip LR Child/Youth,Light rail,733
Oct-16,Senior/Pensioner,Light rail,147173
Oct-16,Sgl Trip LR Adult,Light rail,2916
Nov-16,Free Travel,Light rail,776
Dec-16,Sgl Trip LR Child/Youth,Light rail,787
Apr-17,Concession,Light rail,30959
May-17,Child/Youth,Light rail,31460
Aug-17,Adult,Light rail,575024
Sep-17,Sgl Trip LR Child/Youth,Light rail,899
Sep-17,Concession,Light rail,29661
Oct-17,Concession,Light rail,30368
Nov-17,Sgl Trip LR Adult,Light rail,5215
Nov-17,Concession,Light rail,31344
Feb-18,Concession,Light rail,26363
Feb-18,Free Travel,Light rail,793
Mar-18,Free Travel,Light rail,860
May-18,Free Travel,Light rail,910
May-18,Sgl Trip LR Child/Youth,Light rail,640
Aug-18,Sgl Trip LR Adult,Light rail,3475
Oct-18,Employee,Light rail,1275
Nov-18,Concession,Light rail,29136
Dec-18,Concession,Light rail,24245
Jan-19,Senior/Pensioner,Light rail,100259
Feb-19,School Student,Light rail,8614
Mar-19,School Student,Light rail,9944
Apr-19,School Student,Light rail,5178
Jun-19,CTP,Light rail,35044
Jun-19,Concession,Light rail,35869
Aug-19,Day Pass without SAF,Light rail,15
Sep-19,Child/Youth,Light rail,36991
Sep-19,Adult,Light rail,575721
Nov-19,Sgl Trip LR Adult,Light rail,1971
Nov-19,Adult,Light rail,613974
Dec-19,Child/Youth,Light rail,118039
Dec-19,CTP,Light rail,203419
Dec-19,Concession,Light rail,46274
Jan-20,CTP,Light rail,288022
Jan-20,Senior/Pensioner,Light rail,334259
Feb-20,School Student,Light rail,50375
Feb-20,Employee,Light rail,2953
Apr-20,Concession,Light rail,6589
Apr-20,Child/Youth,Light rail,3438
Apr-20,School Student,Light rail,237
May-20,Senior/Pensioner,Light rail,67053
May-20,CTP,Light rail,76246
Jun-20,Adult,Light rail,406393
Jun-20,Free Travel,Light rail,1138
Jul-20,School Student,Light rail,24956
Jul-20,Day Pass without SAF,Light rail,30
Oct-20,CTP,Light rail,274808
Dec-20,Child/Youth,Light rail,64923
Dec-20,Concession,Light rail,71350
Jan-21,Senior/Pensioner,Light rail,181710
Feb-21,Child/Youth,Light rail,67431
Feb-21,Free Travel,Light rail,1983
Mar-21,Employee,Light rail,6407
Mar-21,Sgl Trip LR Adult,Light rail,1081
Apr-21,Employee,Light rail,7916
Apr-21,School Student,Light rail,22281
May-21,School Student,Light rail,41673
Jun-21,School Student,Light rail,30742
Jun-21,Child/Youth,Light rail,46986
Jun-21,CTP,Light rail,429108
Jun-21,Free Travel,Light rail,2067
Jul-21,Day Pass without SAF,Light rail,8
Jul-21,Adult,Light rail,186420
Jul-21,Senior/Pensioner,Light rail,51834
Aug-21,Adult,Light rail,153727
Oct-21,School Student,Light rail,11144
Dec-21,Adult,Light rail,567365
Dec-21,Sgl Trip LR Child/Youth,Light rail,855
Jan-22,CTP,Light rail,312879
Jan-22,Employee,Light rail,4664
Jan-22,Sgl Trip LR Child/Youth,Light rail,873
Feb-22,Child/Youth,Light rail,51964
Mar-22,Concession,Light rail,226808
Mar-22,Employee,Light rail,6799
Apr-22,CTP,Light rail,615146
May-22,School Student,Light rail,34231
May-22,Child/Youth,Light rail,58003
Jun-22,Concession,Light rail,238148
Jun-22,Adult,Light rail,974646
Jul-22,CTP,Light rail,741452
Jul-22,School Student,Light rail,14828
Jul-22,Free Travel,Light rail,2344
Sep-22,Adult,Light rail,1017785
Sep-22,Sgl Trip LR Child/Youth,Light rail,1837
Oct-22,Sgl Trip LR Child/Youth,Light rail,1665
Nov-22,Free Travel,Light rail,2913
Dec-22,Day Pass without SAF,Light rail,73
Jan-23,Sgl Trip LR Adult,Light rail,5136
Jan-23,CTP,Light rail,1031438
Feb-23,Free Travel,Light rail,2880
Mar-23,Sgl Trip LR Child/Youth,Light rail,1069
Mar-23,Adult,Light rail,1263515
Apr-23,Sgl Trip LR Child/Youth,Light rail,2192
Apr-23,Concession,Light rail,218283
Apr-23,Sgl Trip LR Adult,Light rail,3796
Apr-23,Adult,Light rail,1035060
May-23,Child/Youth,Light rail,67316
Jun-23,Sgl Trip LR Adult,Light rail,3976
Aug-23,Day Pass without SAF,Light rail,45
Oct-23,Child/Youth,Light rail,104704
Dec-23,School Student,Light rail,16331
Mar-24,Employee,Light rail,9800
May-24,CTP,Light rail,1470966
May-24,Sgl Trip LR Child/Youth,Light rail,941
Dec-17,School Student,Light rail,1860
Jan-19,School Student,Light rail,560
Dec-22,Day Pass Child/Youth w/o SAF,Light rail,195
Sep-23,Senior/Pensioner,Light rail,397490
Sep-18,Day Pass without SAF,Light rail,1
May-21,Day Pass Child/Youth w/o SAF,Light rail,87
Oct-22,Day Pass Child/Youth w/o SAF,Light rail,45
Jul-16,Employee,Train,264074
Aug-16,Senior/Pensioner,Train,2849358
Aug-16,Child/Youth,Train,946988
Sep-16,Sgl Trip Rail Child/Youth,Train,66493
Sep-16,Child/Youth,Train,1094712
Oct-16,Free Travel,Train,30205
Oct-16,School Student,Train,759479
Nov-16,Senior/Pensioner,Train,2969184
Nov-16,Employee,Train,318627
Dec-16,Senior/Pensioner,Train,2773808
Dec-16,Sgl Trip Rail Child/Youth,Train,85766
Jan-17,Adult,Train,20689527
Jan-17,Sgl Trip Rail Child/Youth,Train,85208
Jan-17,Concession,Train,1255327
Feb-17,Adult,Train,21960594
Mar-17,Sgl Trip Rail Adult,Train,320440
May-17,Adult,Train,26157005
Aug-17,School Student,Train,1234164
Oct-17,Senior/Pensioner,Train,2880156
Oct-17,Adult,Train,25069317
Nov-17,Adult,Train,25763265
Nov-17,Senior/Pensioner,Train,2979774
Dec-17,Sgl Trip Rail Child/Youth,Train,94481
Feb-18,Concession,Train,1546266
Jun-18,Employee,Train,291309
Jun-18,Day Pass without SAF,Train,218
Aug-18,Child/Youth,Train,982120
Aug-18,Concession,Train,2740748
Oct-18,School Student,Train,692192
Dec-18,School Student,Train,512431
Jan-19,Child/Youth,Train,1511478
Jan-19,Sgl Trip Rail Adult,Train,250355
Jan-19,Day Pass without SAF,Train,493
Mar-19,Concession,Train,2792174
May-19,Senior/Pensioner,Train,3208060
May-19,Employee,Train,366432
Jun-19,Day Pass without SAF,Train,671
