trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2024-03-30|Ferry|Sydney CBD|20|1000|1400
2024-03-30|Ferry|All - NSW|20|2400|3500
2024-03-30|Ferry|Newcastle and surrounds|21|<50|<50
2024-03-30|Ferry|North Sydney|21|100|200
2024-03-30|Ferry|Other|21|600|500
2024-03-30|Ferry|Sydney CBD|21|1000|1000
2024-03-30|Ferry|All - NSW|21|1700|1700
2024-03-30|Ferry|Newcastle and surrounds|22|<50|<50
2024-03-30|Ferry|North Sydney|22|100|100
2024-03-30|Ferry|Other|22|600|700
2024-03-30|Ferry|Sydney CBD|22|600|900
2024-03-30|Ferry|All - NSW|22|1300|1700
2024-03-30|Ferry|Newcastle and surrounds|23|<50|<50
2024-03-30|Ferry|North Sydney|23|<50|<50
2024-03-30|Ferry|Other|23|300|400
2024-03-30|Ferry|Sydney CBD|23|200|400
2024-03-30|Ferry|All - NSW|23|500|800
2024-03-30|Light rail|Newcastle and surrounds|0|<50|<50
2024-03-30|Light rail|Other|0|100|100
2024-03-30|Light rail|Sydney CBD|0|300|400
2024-03-30|Light rail|All - NSW|0|400|500
2024-03-30|Light rail|Other|1|<50|<50
2024-03-30|Light rail|Sydney CBD|1|<50|100
2024-03-30|Light rail|All - NSW|1|<50|100
2024-03-30|Light rail|Other|2|<50|<50
2024-03-30|Light rail|Sydney CBD|2|<50|<50
2024-03-30|Light rail|All - NSW|2|<50|<50
2024-03-30|Light rail|Other|3|<50|<50
2024-03-30|Light rail|All - NSW|3|<50|<50
2024-03-30|Light rail|Newcastle and surrounds|4|<50|<50
2024-03-30|Light rail|Other|4|<50|<50
2024-03-30|Light rail|Sydney CBD|4|<50|<50
2024-03-30|Light rail|All - NSW|4|<50|<50
2024-03-30|Light rail|Newcastle and surrounds|5|<50|<50
2024-03-30|Light rail|Other|5|100|100
2024-03-30|Light rail|Sydney CBD|5|200|100
2024-03-30|Light rail|All - NSW|5|300|200
2024-03-30|Light rail|Newcastle and surrounds|6|<50|<50
2024-03-30|Light rail|Other|6|300|300
2024-03-30|Light rail|Sydney CBD|6|400|400
2024-03-30|Light rail|All - NSW|6|700|700
2024-03-30|Light rail|Newcastle and surrounds|7|<50|<50
2024-03-30|Light rail|Other|7|500|400
2024-03-30|Light rail|Sydney CBD|7|700|600
2024-03-30|Light rail|All - NSW|7|1200|1000
2024-03-30|Light rail|Newcastle and surrounds|8|100|100
2024-03-30|Light rail|Other|8|800|700
2024-03-30|Light rail|Sydney CBD|8|1500|1300
2024-03-30|Light rail|All - NSW|8|2400|2100
2024-03-30|Light rail|Newcastle and surrounds|9|100|100
2024-03-30|Light rail|Other|9|1500|1300
2024-03-30|Light rail|Sydney CBD|9|2900|2500
2024-03-30|Light rail|All - NSW|9|4500|3900
2024-03-30|Light rail|Newcastle and surrounds|10|200|200
2024-03-30|Light rail|Other|10|2000|1900
2024-03-30|Light rail|Sydney CBD|10|4300|3800
2024-03-30|Light rail|All - NSW|10|6500|5900
2024-03-30|Light rail|Newcastle and surrounds|11|300|300
2024-03-30|Light rail|Other|11|2300|2400
2024-03-30|Light rail|Sydney CBD|11|5700|5300
2024-03-30|Light rail|All - NSW|11|8300|8000
2024-03-30|Light rail|Newcastle and surrounds|12|200|300
2024-03-30|Light rail|Other|12|2300|2500
2024-03-30|Light rail|Sydney CBD|12|6400|6100
2024-03-30|Light rail|All - NSW|12|8900|8900
2024-03-30|Light rail|Newcastle and surrounds|13|300|300
2024-03-30|Light rail|Other|13|2300|2600
2024-03-30|Light rail|Sydney CBD|13|7100|6900
2024-03-30|Light rail|All - NSW|13|9700|9800
2024-03-30|Light rail|Newcastle and surrounds|14|200|200
2024-03-30|Light rail|Other|14|2200|2500
2024-03-30|Light rail|Sydney CBD|14|7200|6700
2024-03-30|Light rail|All - NSW|14|9600|9400
2024-03-30|Light rail|Newcastle and surrounds|15|300|300
2024-03-30|Light rail|Other|15|2100|2400
2024-03-30|Light rail|Sydney CBD|15|7300|7200
2024-03-30|Light rail|All - NSW|15|9700|9900
2024-03-30|Light rail|Newcastle and surrounds|16|200|200
2024-03-30|Light rail|Other|16|2300|2300
2024-03-30|Light rail|Sydney CBD|16|7500|7400
2024-03-30|Light rail|All - NSW|16|10000|9900
2024-03-30|Light rail|Newcastle and surrounds|17|200|200
2024-03-30|Light rail|Other|17|2400|2600
2024-03-30|Light rail|Sydney CBD|17|7600|7600
2024-03-30|Light rail|All - NSW|17|10200|10400
2024-03-30|Light rail|Newcastle and surrounds|18|200|200
2024-03-30|Light rail|Other|18|2100|2400
2024-03-30|Light rail|Sydney CBD|18|6700|6500
2024-03-30|Light rail|All - NSW|18|9000|9100
2024-03-30|Light rail|Newcastle and surrounds|19|200|200
2024-03-30|Light rail|Other|19|1500|1800
2024-03-30|Light rail|Sydney CBD|19|5200|5400
2024-03-30|Light rail|All - NSW|19|6900|7400
2024-03-30|Light rail|Newcastle and surrounds|20|100|100
2024-03-30|Light rail|Other|20|1100|1400
2024-03-30|Light rail|Sydney CBD|20|4200|4400
2024-03-30|Light rail|All - NSW|20|5400|5900
2024-03-30|Light rail|Newcastle and surrounds|21|100|100
2024-03-30|Light rail|Other|21|1300|1300
2024-03-30|Light rail|Sydney CBD|21|4100|3800
2024-03-30|Light rail|All - NSW|21|5500|5200
2024-03-30|Light rail|Newcastle and surrounds|22|<50|<50
2024-03-30|Light rail|Other|22|1400|1700
2024-03-30|Light rail|Sydney CBD|22|2700|3100
2024-03-30|Light rail|All - NSW|22|4100|4800
2024-03-30|Light rail|Newcastle and surrounds|23|<50|<50
2024-03-30|Light rail|Other|23|400|600
2024-03-30|Light rail|Sydney CBD|23|1300|1600
2024-03-30|Light rail|All - NSW|23|1700|2200
2024-03-30|Train|Chatswood|0|<50|100
2024-03-30|Train|Macquarie Park|0|<50|<50
2024-03-30|Train|Newcastle and surrounds|0|<50|<50
2024-03-30|Train|North Sydney|0|<50|100
2024-03-30|Train|Other|0|1500|4100
2024-03-30|Train|Parramatta|0|100|200
2024-03-30|Train|Strathfield|0|100|200
2024-03-30|Train|Sydney CBD|0|1700|3700
2024-03-30|Train|Wollongong and surrounds|0|<50|<50
2024-03-30|Train|All - NSW|0|3400|8400
2024-03-30|Train|Chatswood|1|<50|<50
2024-03-30|Train|Macquarie Park|1|<50|<50
2024-03-30|Train|Newcastle and surrounds|1|<50|<50
2024-03-30|Train|North Sydney|1|<50|<50
2024-03-30|Train|Other|1|200|1100
2024-03-30|Train|Parramatta|1|<50|<50
2024-03-30|Train|Strathfield|1|<50|100
2024-03-30|Train|Sydney CBD|1|300|1200
2024-03-30|Train|Wollongong and surrounds|1|<50|<50
2024-03-30|Train|All - NSW|1|500|2400
2024-03-30|Train|Chatswood|2|<50|<50
2024-03-30|Train|Macquarie Park|2|<50|<50
2024-03-30|Train|Newcastle and surrounds|2|<50|<50
2024-03-30|Train|North Sydney|2|<50|<50
2024-03-30|Train|Other|2|<50|100
2024-03-30|Train|Parramatta|2|<50|<50
2024-03-30|Train|Strathfield|2|<50|<50
2024-03-30|Train|Sydney CBD|2|<50|100
2024-03-30|Train|Wollongong and surrounds|2|<50|<50
2024-03-30|Train|All - NSW|2|<50|200
2024-03-30|Train|Newcastle and surrounds|3|<50|<50
2024-03-30|Train|Other|3|200|<50
2024-03-30|Train|Strathfield|3|<50|<50
2024-03-30|Train|Sydney CBD|3|<50|<50
2024-03-30|Train|Wollongong and surrounds|3|<50|<50
2024-03-30|Train|All - NSW|3|200|<50
2024-03-30|Train|Chatswood|4|<50|<50
2024-03-30|Train|Macquarie Park|4|<50|<50
2024-03-30|Train|Newcastle and surrounds|4|<50|<50
2024-03-30|Train|North Sydney|4|<50|<50
2024-03-30|Train|Other|4|2200|500
2024-03-30|Train|Parramatta|4|100|<50
2024-03-30|Train|Strathfield|4|100|<50
2024-03-30|Train|Sydney CBD|4|300|<50
2024-03-30|Train|Wollongong and surrounds|4|<50|<50
2024-03-30|Train|All - NSW|4|2700|500
2024-03-30|Train|Chatswood|5|100|<50
2024-03-30|Train|Macquarie Park|5|100|<50
2024-03-30|Train|Newcastle and surrounds|5|<50|<50
2024-03-30|Train|North Sydney|5|100|<50
2024-03-30|Train|Other|5|6500|3700
2024-03-30|Train|Parramatta|5|300|200
2024-03-30|Train|Strathfield|5|400|200
2024-03-30|Train|Sydney CBD|5|800|600
2024-03-30|Train|Wollongong and surrounds|5|<50|<50
2024-03-30|Train|All - NSW|5|8300|4700
2024-03-30|Train|Chatswood|6|100|100
2024-03-30|Train|Macquarie Park|6|100|100
2024-03-30|Train|Newcastle and surrounds|6|<50|<50
2024-03-30|Train|North Sydney|6|100|100
2024-03-30|Train|Other|6|9100|8100
2024-03-30|Train|Parramatta|6|400|400
2024-03-30|Train|Strathfield|6|500|500
2024-03-30|Train|Sydney CBD|6|1500|1200
2024-03-30|Train|Wollongong and surrounds|6|<50|<50
2024-03-30|Train|All - NSW|6|11800|10500
2024-03-30|Train|Chatswood|7|200|200
2024-03-30|Train|Macquarie Park|7|200|100
2024-03-30|Train|Newcastle and surrounds|7|<50|<50
2024-03-30|Train|North Sydney|7|200|100
2024-03-30|Train|Other|7|13600|9200
2024-03-30|Train|Parramatta|7|600|400
2024-03-30|Train|Strathfield|7|600|500
2024-03-30|Train|Sydney CBD|7|2400|1600
2024-03-30|Train|Wollongong and surrounds|7|100|<50
2024-03-30|Train|All - NSW|7|17900|12100
2024-03-30|Train|Chatswood|8|300|300
2024-03-30|Train|Macquarie Park|8|300|200
2024-03-30|Train|Newcastle and surrounds|8|100|<50
2024-03-30|Train|North Sydney|8|300|300
2024-03-30|Train|Other|8|20900|16100
2024-03-30|Train|Parramatta|8|900|700
2024-03-30|Train|Strathfield|8|900|700
2024-03-30|Train|Sydney CBD|8|3500|2600
2024-03-30|Train|Wollongong and surrounds|8|100|<50
2024-03-30|Train|All - NSW|8|27300|20900
2024-03-30|Train|Chatswood|9|600|500
2024-03-30|Train|Macquarie Park|9|400|300
2024-03-30|Train|Newcastle and surrounds|9|100|<50
2024-03-30|Train|North Sydney|9|700|600
2024-03-30|Train|Other|9|27700|23400
2024-03-30|Train|Parramatta|9|1100|1000
2024-03-30|Train|Strathfield|9|1000|900
2024-03-30|Train|Sydney CBD|9|4700|4100
2024-03-30|Train|Wollongong and surrounds|9|100|100
2024-03-30|Train|All - NSW|9|36400|30900
2024-03-30|Train|Chatswood|10|800|800
2024-03-30|Train|Macquarie Park|10|500|500
2024-03-30|Train|Newcastle and surrounds|10|100|100
2024-03-30|Train|North Sydney|10|800|800
2024-03-30|Train|Other|10|32800|29200
2024-03-30|Train|Parramatta|10|1300|1200
2024-03-30|Train|Strathfield|10|1000|1100
2024-03-30|Train|Sydney CBD|10|5400|5300
2024-03-30|Train|Wollongong and surrounds|10|200|200
2024-03-30|Train|All - NSW|10|42900|39200
2024-03-30|Train|Chatswood|11|1000|1000
2024-03-30|Train|Macquarie Park|11|500|500
2024-03-30|Train|Newcastle and surrounds|11|100|100
2024-03-30|Train|North Sydney|11|800|900
2024-03-30|Train|Other|11|33500|34700
2024-03-30|Train|Parramatta|11|1500|1400
2024-03-30|Train|Strathfield|11|1000|1100
2024-03-30|Train|Sydney CBD|11|6300|6400
2024-03-30|Train|Wollongong and surrounds|11|100|100
