Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,067105,2012,10,20.2,N
IDCJAC0001,067105,2012,11,37.2,N
IDCJAC0001,067105,2012,12,48.2,N
IDCJAC0001,067105,2013,01,155.0,N
IDCJAC0001,067105,2013,02,141.2,N
IDCJAC0001,067105,2013,03,81.2,N
IDCJAC0001,067105,2013,04,49.0,N
IDCJAC0001,067105,2013,05,29.6,N
IDCJAC0001,067105,2013,06,66.6,N
IDCJAC0001,067105,2013,07,1.8,N
IDCJAC0001,067105,2013,08,7.4,N
IDCJAC0001,067105,2013,09,24.0,N
IDCJAC0001,067105,2013,10,7.8,N
IDCJAC0001,067105,2013,11,68.4,N
IDCJAC0001,067105,2013,12,29.0,N
IDCJAC0001,067105,2014,01,21.6,N
IDCJAC0001,067105,2014,02,69.0,N
IDCJAC0001,067105,2014,03,105.8,N
IDCJAC0001,067105,2014,04,41.4,N
IDCJAC0001,067105,2014,05,3.4,N
IDCJAC0001,067105,2014,06,19.0,N
IDCJAC0001,067105,2014,07,4.0,N
IDCJAC0001,067105,2014,08,107.8,N
IDCJAC0001,067105,2014,09,19.4,N
IDCJAC0001,067105,2014,10,46.2,N
IDCJAC0001,067105,2014,11,16.6,N
IDCJAC0001,067105,2014,12,229.4,N
IDCJAC0001,067105,2015,01,139.0,N
IDCJAC0001,067105,2015,02,99.2,N
IDCJAC0001,067105,2015,03,25.4,N
IDCJAC0001,067105,2015,04,353.0,N
IDCJAC0001,067105,2015,05,63.2,N
IDCJAC0001,067105,2015,06,63.2,N
IDCJAC0001,067105,2015,07,24.2,Y
IDCJAC0001,067105,2015,08,19.2,N
IDCJAC0001,067105,2015,09,17.6,N
IDCJAC0001,067105,2015,10,19.0,N
IDCJAC0001,067105,2015,11,116.0,N
IDCJAC0001,067105,2015,12,78.8,N
IDCJAC0001,067105,2016,01,266.4,N
IDCJAC0001,067105,2016,02,14.2,N
IDCJAC0001,067105,2016,03,12.8,N
IDCJAC0001,067105,2016,04,8.6,N
IDCJAC0001,067105,2016,05,4.2,Y
IDCJAC0001,067105,2016,06,189.2,N
IDCJAC0001,067105,2016,07,57.2,N
IDCJAC0001,067105,2016,08,61.6,N
IDCJAC0001,067105,2016,09,55.4,N
IDCJAC0001,067105,2016,10,13.6,N
IDCJAC0001,067105,2016,11,40.6,N
IDCJAC0001,067105,2016,12,78.4,N
IDCJAC0001,067105,2017,01,21.8,N
IDCJAC0001,067105,2017,02,72.0,N
IDCJAC0001,067105,2017,03,286.8,N
IDCJAC0001,067105,2017,04,24.2,N
IDCJAC0001,067105,2017,05,15.4,N
IDCJAC0001,067105,2017,06,122.2,N
IDCJAC0001,067105,2017,07,0.6,N
IDCJAC0001,067105,2017,08,16.8,N
IDCJAC0001,067105,2017,09,0.2,N
IDCJAC0001,067105,2017,10,49.8,Y
IDCJAC0001,067105,2017,11,19.4,N
IDCJAC0001,067105,2017,12,46.6,N
IDCJAC0001,067105,2018,01,19.2,N
IDCJAC0001,067105,2018,02,72.2,N
IDCJAC0001,067105,2018,03,39.6,N
IDCJAC0001,067105,2018,04,10.8,N
IDCJAC0001,067105,2018,05,4.2,N
IDCJAC0001,067105,2018,06,40.4,N
IDCJAC0001,067105,2018,07,6.2,N
IDCJAC0001,067105,2018,08,3.8,N
IDCJAC0001,067105,2018,09,18.4,N
IDCJAC0001,067105,2018,10,114.8,N
IDCJAC0001,067105,2018,11,93.4,N
IDCJAC0001,067105,2018,12,101.2,N
IDCJAC0001,067105,2019,01,121.2,N
IDCJAC0001,067105,2019,02,23.8,Y
IDCJAC0001,067105,2019,03,125.8,N
IDCJAC0001,067105,2019,04,13.6,N
IDCJAC0001,067105,2019,05,20.0,Y
IDCJAC0001,067105,2019,06,40.6,N
IDCJAC0001,067105,2019,07,14.6,N
IDCJAC0001,067105,2019,08,11.0,Y
IDCJAC0001,067105,2019,09,81.2,Y
IDCJAC0001,067105,2019,10,44.6,N
IDCJAC0001,067105,2019,11,18.0,Y
IDCJAC0001,067105,2019,12,0.0,Y
IDCJAC0001,067105,2020,01,40.4,Y
IDCJAC0001,067105,2020,02,280.4,Y
IDCJAC0001,067105,2020,03,102.6,N
IDCJAC0001,067105,2020,04,20.8,N
IDCJAC0001,067105,2020,05,27.6,N
IDCJAC0001,067105,2020,06,17.6,Y
IDCJAC0001,067105,2020,07,103.6,Y
IDCJAC0001,067105,2020,08,45.6,N
IDCJAC0001,067105,2020,09,23.0,Y
IDCJAC0001,067105,2020,10,96.8,N
IDCJAC0001,067105,2020,11,54.8,N
IDCJAC0001,067105,2020,12,122.2,N
IDCJAC0001,067105,2021,01,46.4,N
IDCJAC0001,067105,2021,02,100.0,N
IDCJAC0001,067105,2021,03,349.6,N
IDCJAC0001,067105,2021,04,22.0,N
IDCJAC0001,067105,2021,05,53.6,Y
IDCJAC0001,067105,2021,06,33.0,N
IDCJAC0001,067105,2021,07,20.8,N
IDCJAC0001,067105,2021,08,51.4,N
IDCJAC0001,067105,2021,09,13.6,N
IDCJAC0001,067105,2021,10,32.6,N
IDCJAC0001,067105,2021,11,254.6,N
IDCJAC0001,067105,2021,12,75.4,N
IDCJAC0001,067105,2022,01,124.6,Y
IDCJAC0001,067105,2022,02,124.8,N
IDCJAC0001,067105,2022,03,591.2,N
IDCJAC0001,067105,2022,04,107.0,Y
IDCJAC0001,067105,2022,05,55.0,N
IDCJAC0001,067105,2022,06,2.4,N
IDCJAC0001,067105,2022,07,207.6,N
